lat,lon,place
11.7400867,92.6, A & N ISLANDS
15.9128998,79.7399875, ANDHRA PRADESH
28.2179994,94.7277528, ARUNACHAL PRADESH
26.2006043,92.9375739, ASSAM
25.0960742,85.3131194, BIHAR
30.7333148,76.7794179, CHANDIGARH
21.2786567,81.8661442, CHHATTISGARH
37.7093735,-89.2199264, D & N HAVELI
41.6765611,-86.1490203, DAMAN & DIU
15.2993265,74.123996, GOA
22.258652,71.1923805, GUJARAT
29.0587757,76.085601, HARYANA
31.1048294,77.1733901, HIMACHAL PRADESH
32.7266016,74.8570259, JAMMU & KASHMIR
15.3172775,75.7138884, KARNATAKA
10.8505159,76.2710833, KERALA
10.3280265,72.7846336, LAKSHADWEEP
22.9734229,78.6568942, MADHYA PRADESH
19.7514798,75.7138884, MAHARASHTRA
24.6637173,93.9062688, MANIPUR
25.4670308,91.366216, MEGHALAYA
23.164543,92.9375739, MIZORAM
26.1584354,94.5624426, NAGALAND
20.9516658,85.0985236, ODISHA
13.801001,78.925532, PUDUCHERRY
31.1471305,75.3412179, PUNJAB
27.0238036,74.2179326, RAJASTHAN
27.5329718,88.5122178, SIKKIM
23.9408482,91.9881527, TRIPURA
26.8467088,80.9461592, UTTAR PRADESH
30.066753,79.0192997, UTTARAKHAND
22.9867569,87.8549755, WEST BENGAL
11.1271225,78.6568942, TAMIL NADU
23.6101808,85.2799354, JHARKHAND
15.9128998,79.7399875, ANDHRA PRADESH
30.7333148,76.7794179, CHANDIGARH
21.2786567,81.8661442, CHHATTISGARH
37.7093735,-89.2199264, D & N HAVELI
41.6765611,-86.1490203, DAMAN & DIU
15.2993265,74.123996, GOA
29.0587757,76.085601, HARYANA
31.1048294,77.1733901, HIMACHAL PRADESH
15.3172775,75.7138884, KARNATAKA
10.8505159,76.2710833, KERALA
10.3280265,72.7846336, LAKSHADWEEP
22.9734229,78.6568942, MADHYA PRADESH
24.6637173,93.9062688, MANIPUR
25.4670308,91.366216, MEGHALAYA
23.164543,92.9375739, MIZORAM
20.9516658,85.0985236, ODISHA
13.801001,78.925532, PUDUCHERRY
27.0238036,74.2179326, RAJASTHAN
11.1271225,78.6568942, TAMIL NADU
26.8467088,80.9461592, UTTAR PRADESH
28.2179994,94.7277528, ARUNACHAL PRADESH
26.2006043,92.9375739, ASSAM
25.0960742,85.3131194, BIHAR
21.2786567,81.8661442, CHHATTISGARH
37.7093735,-89.2199264, D & N HAVELI
41.6765611,-86.1490203, DAMAN & DIU
29.0587757,76.085601, HARYANA
32.7266016,74.8570259, JAMMU & KASHMIR
15.3172775,75.7138884, KARNATAKA
10.8505159,76.2710833, KERALA
22.9734229,78.6568942, MADHYA PRADESH
19.7514798,75.7138884, MAHARASHTRA
24.6637173,93.9062688, MANIPUR
23.164543,92.9375739, MIZORAM
26.1584354,94.5624426, NAGALAND
20.9516658,85.0985236, ODISHA
13.801001,78.925532, PUDUCHERRY
31.1471305,75.3412179, PUNJAB
23.9408482,91.9881527, TRIPURA
26.8467088,80.9461592, UTTAR PRADESH
22.9867569,87.8549755, WEST BENGAL